start;type;variable;function;cycle;basic_type;basic_variable;user_function;cycle_1;main;int;

name;ISA;AKO;has_part;has_type;use;take;assignment;stores;read;write;return;implement;
start;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;
type;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;start;
variable;nun;nun;nun;type;nun;nun;nun;nun;nun;nun;nun;start;
function;nun;nun;nun;nun;nun;type;nun;nun;nun;nun;type;start;
cycle;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;start;
basic_type;nun;type;nun;nun;nun;nun;nun;nun;nun;nun;nun;start;
basic_variable;nun;variable;nun;type;nun;nun;nun;nun;nun;nun;nun;start;
user_function;nun;function;nun;nun;nun;type;nun;nun;nun;nun;type;start;
cycle_1;cycle;nun;main;nun;nun;type;nun;nun;nun;nun;type;start;
main;user_function;function;nun;nun;nun;type;nun;nun;nun;nun;int;start;
int;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;nun;
